what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1374928489572
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1374928491279
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1374928494944
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374928497796
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374928498192
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374928498225
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1374928499713
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374928499761
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1374928511486
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1374928531077
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1374928532780
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374928535462
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374928537164
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1374928538985
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1374928540476
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1374928541225
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374928548700
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374928550453
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374928554393
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1374928554722
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374928554754
error,log,,,"Error logged from Debug Core: ",1374928555492
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374928568225
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374928608762
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1374928610355
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374928613183
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374928613373
