what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1374935224894
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1374935225569
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374935230582
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374935232188
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1374935247496
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1374935250694
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1374935251639
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374935253777
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374935255219
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1374935259209
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1374935259636
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1374935295576
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1374935296938
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1374935298005
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374935299777
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374935301134
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1374935303685
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1374935334538
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1374935340535
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1374935341313
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374935342915
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374935344424
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374935353029
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1374935354842
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374935420879
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1374935424772
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1374935431797
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1374935433520
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374935435586
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374935437270
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1374935447433
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1374935459978
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1374935466687
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1374935467692
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1374935468995
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374935471813
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1374935472020
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374935472066
error,log,,,"Error logged from Debug Core: ",1374935473453
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1374935508123
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1374935512223
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1374935513252
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1374935520288
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1374935521742
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374935524432
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1374935524633
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374935524665
error,log,,,"Error logged from Debug Core: ",1374935525335
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374935531172
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1374935531316
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374935531373
error,log,,,"Error logged from Debug Core: ",1374935532799
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1374935536595
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374935544886
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374935558997
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1374935563059
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1374935564997
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1374935566446
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374935568756
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1374935568941
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374935568972
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374935570109
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374935571800
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1374935576436
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1374935579114
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1374935580574
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374935585477
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374935585771
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374935585814
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1374935586903
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374935586938
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1374935587818
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374935617075
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1374935700486
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1374935722634
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1374935730179
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1374935735466
